Símbolo,Timeframe,Tendencia,RSI,Soportes,Resistencias
6A=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    27.135438
2025-11-18 01:00:00    23.999833
2025-11-18 05:00:00    31.838496
2025-11-18 09:00:00    38.396459
2025-11-18 13:00:00    42.148923
Name: Close, Length: 136, dtype: float64","[0.6470625102519989, 0.6535999774932861]","[0.652999997138977, 0.657399982213974]"
6A=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    61.486416
2025-11-18 11:00:00    58.088268
2025-11-18 12:00:00    56.060291
2025-11-18 13:00:00    60.294169
2025-11-18 14:00:00    69.672660
Name: Close, Length: 116, dtype: float64","[0.6467000246047974, 0.6511749923229218]","[0.6540375202894211, 0.65829998254776]"
6A=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    79.592234
2025-11-18 13:45:00    76.472101
2025-11-18 14:00:00    62.500621
2025-11-18 14:15:00    55.814018
2025-11-18 14:30:00    65.385850
Name: Close, Length: 155, dtype: float64",[0.6504656374454498],[0.6533999880775809]
ZN=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    40.490798
2025-11-13    37.714286
2025-11-14    34.920635
2025-11-17    36.269430
2025-11-18    50.285714
Name: Close, Length: 129, dtype: float64","[111.421875, 112.2421875]","[112.4375, 113.140625]"
ZN=F,4h,bullish,"Datetime
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
2025-10-20 16:00:00          NaN
2025-10-20 20:00:00          NaN
                         ...    
2025-11-17 21:00:00    45.333333
2025-11-18 01:00:00    52.325581
2025-11-18 05:00:00    54.945055
2025-11-18 09:00:00    57.142857
2025-11-18 13:00:00    43.478261
Name: Close, Length: 132, dtype: float64","[112.466796875, 113.2265625]","[113.09765625, 113.90625]"
ZN=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    64.864865
2025-11-18 11:00:00    65.789474
2025-11-18 12:00:00    77.500000
2025-11-18 13:00:00    82.926829
2025-11-18 14:00:00    75.000000
Name: Close, Length: 116, dtype: float64",[112.775390625],[113.09326171875]
ZN=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    62.068966
2025-11-18 13:45:00    62.068966
2025-11-18 14:00:00    64.285714
2025-11-18 14:15:00    66.666667
2025-11-18 14:30:00    64.285714
Name: Close, Length: 155, dtype: float64",[112.654296875],[112.90673828125]
ZB=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    38.857143
2025-11-13    36.956522
2025-11-14    31.472081
2025-11-17    30.769231
2025-11-18    39.325843
Name: Close, Length: 129, dtype: float64","[113.5, 116.03125]","[116.15625, 118.90625]"
ZB=F,4h,bearish,"Datetime
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
2025-10-20 16:00:00          NaN
2025-10-20 20:00:00          NaN
                         ...    
2025-11-17 21:00:00    44.943820
2025-11-18 01:00:00    49.484536
2025-11-18 05:00:00    51.515152
2025-11-18 09:00:00    56.701031
2025-11-18 13:00:00    41.250000
Name: Close, Length: 132, dtype: float64","[116.6171875, 118.015625]","[117.78125, 119.421875]"
ZB=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    62.068966
2025-11-18 11:00:00    63.333333
2025-11-18 12:00:00    75.757576
2025-11-18 13:00:00    78.125000
2025-11-18 14:00:00    66.666667
Name: Close, Length: 116, dtype: float64","[116.3125, 117.21875]",[117.69140625]
ZB=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    54.838710
2025-11-18 13:45:00    56.666667
2025-11-18 14:00:00    54.838710
2025-11-18 14:15:00    56.666667
2025-11-18 14:30:00    58.620690
Name: Close, Length: 155, dtype: float64",[116.82470703125],[117.12841796875]
